asin	upc	ean
B000XECJES	780411208355	7044447861254
B0106IS5XY	608255827443	0608255827443
B006QF3TW4	724716428377	0400110596408
0310941555	025986941550	9780310941552
1491513713	889290302908	9781491513712
1501260626	889290380265	9781501260629
0740748475	050837231467	9780740748479
1780671067	799562739755	9781780671062
1607747308	884327095983	9781607747307
0544668251	None	9780544668256
0939798832	None	9780939798834
0078035325	None	9780078035326
