128,世荣兆业,广东世荣兆业股份有限公司
129,海尔地产,海尔集团公司
130,高宇,四川省高宇集团有限公司
131,名城地产,上海大名城企业股份有限公司
132,丰渝控股,重庆中渝物业发展有限公司
133,正荣,正荣集团有限公司
134,时代地产,广州市时代宏泰投资有限公司
135,华正地产,吉林正业集团有限责任公司
136,汉鼎宇佑,汉鼎宇佑集团有限公司
137,中华,中华企业股份有限公司
138,建业,建业住宅集团(中国)有限公司
139,天安数码城,天安数码城(集团)有限公司
140,康达尔kondarl,深圳市康达尔(集团)股份有限公司
141,世纪金源,世纪金源投资集团有限公司
142,福信GOODFIRST,福信集团有限公司
143,嘉华国际,嘉华集团
144,华发,珠海华发实业股份有限公司
145,深业,深圳控股有限公司
146,世纪星源,深圳世纪星源股份有限公司
147,越秀,广州越秀集团有限公司
148,泽京ZEJING,重庆泽京房地产开发有限公司
149,浩立HOLEAD,重庆浩立地产(集团)有限公司
150,天房发展,天津市房地产发展(集团)股份有限公司
151,云南城投,云南城投置业股份有限公司
152,荣丰,荣丰控股集团股份有限公司
153,天地源TANDE,天地源股份有限公司
154,景建,山东景芝建设股份有限公司
155,上海实业,上海实业控股有限公司
156,金建建设,河南金建建设有限公司
157,龙鹏,湖北龙鹏房地产集团有限责任公司
158,宏远Winnerway,东莞宏远工业区股份有限公司
159,宋都,宋都基业投资股份有限公司
160,美都,美都能源股份有限公司
161,天宸,上海市天宸股份有限公司
162,中大国合CDIG,中国大连国际合作(集团)股份有限公司
163,中关村科技,北京中关村科技发展(控股)股份有限公司
164,百大,百大集团股份有限公司
165,拓新ToKing,重庆拓新控股集团房地产开发有限公司
166,京投银泰,京投银泰股份有限公司
167,泉舜,泉舜集团有限公司
168,南方SOUTH,重庆南方集团有限公司
169,运盛实业,运盛(上海)医疗科技股份有限公司
170,冠城大通,冠城大通股份有限公司
171,嘉宝,上海嘉宝实业(集团)股份有限公司
172,华鑫,上海华鑫股份有限公司
173,张江高科,上海张江高科技园区开发股份有限公司
174,中珠,中珠控股股份有限公司
175,华业地产,北京华业资本控股股份有限公司
176,大港DG,江苏大港股份有限公司
177,金桥,上海金桥出口加工区开发股份有限公司
178,南京高科,南京高科股份有限公司
179,佳兆业Kaisa,佳兆业集团控股有限公司
180,银亿,宁波银亿房地产开发有限公司
181,财信地产CASIN,财信国兴地产发展股份有限公司
182,东辰EASTAR,东辰控股集团有限公司
183,恒辰世纪,宁夏恒辰世纪置业集团有限公司
184,富华FuWah,富华国际集团有限公司
185,优图投资,重庆优图投资有限公司
186,海外宏洋,中国海外宏洋集团有限公司
187,中恒,广西梧州中恒集团股份有限公司
188,新黄浦置业,上海新黄浦置业股份有限公司
189,上实发展,上海实业发展股份有限公司
190,天业恒基,山东天业恒基股份有限公司
191,凯瑞KAIRUI,洛阳凯瑞企业集团有限公司
192,海德,海南海德实业股份有限公司
193,东原,重庆东原房地产开发有限公司
194,彭成集团,彭成集团
195,新疆城建,新疆城建(集团)股份有限公司
196,合肥城建,合肥城建发展股份有限公司
197,绵世投资,北京绵世投资集团股份有限公司
198,京能置业,京能置业股份有限公司
199,鼎立DINGLI,上海鼎立科技发展(集团)股份有限公司
200,天健TagenGroup,深圳市天健(集团)股份有限公司
201,津滨发展,天津津滨发展股份有限公司
202,信达地产,信达地产股份有限公司
203,东日,浙江东日股份有限公司
