建筑专业	特种防护材料	耐腐蚀胶泥、砂浆、混凝土	16	1
建筑专业	特种防护材料	耐腐蚀玻璃钢	16	2
建筑专业	特种防护材料	耐腐蚀块材	16	3
建筑专业	特种防护材料	耐腐蚀涂料	16	4
建筑专业	特种防护材料	抗穿透性辐射材料	16	5
建筑专业	特种防护材料	表面防护材料	16	6
建筑专业	特种防护材料	其它特种防护材料	16	7
建筑专业	古建筑材料	中国古典建筑材料	17	1
建筑专业	古建筑材料	西方古典建筑部件	17	2
建筑专业	厨房设备	厨房家具  	20	1
建筑专业	厨房设备	厨房用设备  	20	1
建筑专业	厨房设备	厨房配件	20	1
建筑专业	卫生设备	洁具		21建筑专业	卫生设备	便器		21建筑专业	卫生设备	卫生器具配件	21	3
建筑专业	家具家饰	住宅家具	22	1
建筑专业	家具家饰	酒店家具	22	2
建筑专业	家具家饰	商用家具	22	3
建筑专业	家具家饰	办公家具	22	4
建筑专业	家具家饰	户外家具	22	5
建筑专业	家具家饰	特殊家具	22	6
建筑专业	家具家饰	其他家饰用品	22	7
建筑专业	康体休闲	健身房	23	1
建筑专业	康体休闲	整体健身设施	23	2
建筑专业	康体休闲	室外高尔夫球	23	3
建筑专业	康体休闲	室内外水上游乐场	23	4
建筑专业	康体休闲	其它运动设施	23	5
建筑专业	基础和基坑	基础和基坑围护	26	1
建筑专业	基础和基坑	降排水设备	26	2
建筑专业	基础和基坑	特殊措施	26	3
建筑专业	专业软件	设计软件	60	1
建筑专业	专业软件	管理软件	60	2
给水排水	给水排水设备	给水加压设备	30	1
给水排水	给水排水设备	给水处理设备	30	3
给水排水	给水排水设备	循环水处理设备	30	4
给水排水	给水排水设备	生活热水加热除垢设备	30	5
给水排水	给水排水设备	水箱、贮罐	30	2
给水排水	给水排水设备	排水设备	30	6
给水排水	给水排水设备	人防专用给排水设备	30	7
给水排水	给水排水设备	给排水检测及分析仪表	30	8
给水排水	给水排水设备	给排水保温防腐及隔振材料	30	9
给水排水	水处理设备	生活污水处理设备	31	1
给水排水	水处理设备	雨水及中水处理系统	31	1
给水排水	水处理设备	污水处理厂设备	31	2
给水排水	水处理设备	工业废水处理厂设备	31	3
给水排水	水处理设备	水处理药剂及器材	31	4
给水排水	水景与灌溉	水景喷泉	32	1
给水排水	水景与灌溉	灌溉	32	2
给水排水	消防设施	消防设备	35	2
给水排水	消防设施	局部设施	35	1
给水排水	阀门及节水控制 	阀门	33	1
给水排水	阀门及节水控制 	节水控制	33	2
给水排水	管材管件	金属管材	34	1
给水排水	管材管件	塑料管、玻璃钢管、复合管	34	2
给水排水	管材管件	其它管材	34	3
给水排水	管材管件	特殊管路接头	34	4
暖通空调	供热	热源设备	40	1
暖通空调	供热	供暖设备	40	3
暖通空调	供热	阀门、仪表及管材	40	4
暖通空调	供热	其它热源设备	40	2
暖通空调	制冷设备	冷源设备	41	1
暖通空调	制冷设备	制冷辅助设备	41	2
暖通空调	制冷设备	制冷附件、制冷剂及清洗剂	41	3
暖通空调	制冷设备	冷藏设备	41	4
暖通空调	空调	空气处理机	42	1
暖通空调	空调	空调机组	42	2
暖通空调	空调	专用空调机	42	3
暖通空调	空调	空气热回收装置	42	4
暖通空调	空调	空调末端设备	42	5
暖通空调	空调	除湿、加湿装置	42	6
暖通空调	空调	空气过滤器	42	7
暖通空调	空调	空气加热、冷却及混合装置	42	8
暖通空调	空调	测量控制元件与仪表	42	9
暖通空调	空调	制冷空调专用设备	42	10
暖通空调	通风 防排烟 除尘	风机	43	1
暖通空调	通风 防排烟 除尘	防排烟、除尘及有害气体排放设备	43	2
暖通空调	通风 防排烟 除尘	空气幕、暖风机	43	3
暖通空调	通风 防排烟 除尘	室内换气及空气处理设备	43	4
暖通空调	通风 防排烟 除尘	风管风道及接头	43	5
暖通空调	通风 防排烟 除尘	风阀及附件	43	6
暖通空调	通风 防排烟 除尘	送、排风口	43	7
暖通空调	消声隔振	消声	44	1
暖通空调	消声隔振	隔震	44	2
暖通空调	燃气设备	中低压燃气设备	26	1
暖通空调	燃气设备	室内燃气设备	26	2
电气专业	电气设备	高压配电装置及电器	50	1
