建筑专业	承重结构	钢结构	http://ck.buildnet.cn//Comparison/ProductList?code1=1&code2=1
建筑专业	承重结构	混凝土结构	http://ck.buildnet.cn//Comparison/ProductList?code1=1&code2=2
建筑专业	承重结构	砌体结构	http://ck.buildnet.cn//Comparison/ProductList?code1=1&code2=3
建筑专业	承重结构	木结构和塑料结构	http://ck.buildnet.cn//Comparison/ProductList?code1=1&code2=4
建筑专业	承重结构	膜结构	http://ck.buildnet.cn//Comparison/ProductList?code1=1&code2=5
建筑专业	承重结构	充气结构	http://ck.buildnet.cn//Comparison/ProductList?code1=1&code2=6
建筑专业	承重结构	索网结构	http://ck.buildnet.cn//Comparison/ProductList?code1=1&code2=7
建筑专业	承重结构	预制装配式建筑物	http://ck.buildnet.cn//Comparison/ProductList?code1=1&code2=8
建筑专业	承重结构	结构连接、加固与防护	http://ck.buildnet.cn//Comparison/ProductList?code1=1&code2=9
建筑专业	承重结构	人防地下室构配件	http://ck.buildnet.cn//Comparison/ProductList?code1=1&code2=10
建筑专业	承重结构	建筑黑色金属	http://ck.buildnet.cn//Comparison/ProductList?code1=1&code2=11
建筑专业	承重结构	建筑有色金属	http://ck.buildnet.cn//Comparison/ProductList?code1=1&code2=12
建筑专业	承重结构	水泥及外加剂	http://ck.buildnet.cn//Comparison/ProductList?code1=1&code2=13
建筑专业	墙体材料	建筑石、砂、灰、石膏	http://ck.buildnet.cn//Comparison/ProductList?code1=2&code2=1
建筑专业	墙体材料	外墙复合板	http://ck.buildnet.cn//Comparison/ProductList?code1=2&code2=2
建筑专业	墙体材料	内墙隔墙	http://ck.buildnet.cn//Comparison/ProductList?code1=2&code2=3
建筑专业	墙体材料	隔断材料	http://ck.buildnet.cn//Comparison/ProductList?code1=2&code2=4
建筑专业	墙体材料	幕墙	http://ck.buildnet.cn//Comparison/ProductList?code1=2&code2=5
建筑专业	墙体材料	玻璃、贴膜及密封	http://ck.buildnet.cn//Comparison/ProductList?code1=2&code2=6
建筑专业	墙体装饰装修材料	陶瓷饰面材料	http://ck.buildnet.cn//Comparison/ProductList?code1=3&code2=1
建筑专业	墙体装饰装修材料	金属饰面材料	http://ck.buildnet.cn//Comparison/ProductList?code1=3&code2=2
建筑专业	墙体装饰装修材料	塑料装饰装修材料	http://ck.buildnet.cn//Comparison/ProductList?code1=3&code2=3
建筑专业	墙体装饰装修材料	木竹质装饰装修材料	http://ck.buildnet.cn//Comparison/ProductList?code1=3&code2=4
建筑专业	墙体装饰装修材料	石材类装饰装修材料	http://ck.buildnet.cn//Comparison/ProductList?code1=3&code2=5
建筑专业	墙体装饰装修材料	石膏类墙面砖装饰材料	http://ck.buildnet.cn//Comparison/ProductList?code1=3&code2=6
建筑专业	墙体装饰装修材料	装饰玻璃	http://ck.buildnet.cn//Comparison/ProductList?code1=3&code2=7
建筑专业	墙体装饰装修材料	壁纸、壁布	http://ck.buildnet.cn//Comparison/ProductList?code1=3&code2=8
建筑专业	墙体装饰装修材料	装饰件系列	http://ck.buildnet.cn//Comparison/ProductList?code1=3&code2=9
建筑专业	墙体装饰装修材料	建筑胶粘剂	http://ck.buildnet.cn//Comparison/ProductList?code1=3&code2=10
建筑专业	墙体装饰装修材料	建筑橡胶	http://ck.buildnet.cn//Comparison/ProductList?code1=3&code2=11
建筑专业	墙体装饰装修材料	钉	http://ck.buildnet.cn//Comparison/ProductList?code1=3&code2=12
建筑专业	墙体装饰装修材料	建筑小五金	http://ck.buildnet.cn//Comparison/ProductList?code1=3&code2=13
建筑专业	墙体装饰装修材料	金属网及金属板网	http://ck.buildnet.cn//Comparison/ProductList?code1=3&code2=14
建筑专业	墙体装饰装修材料	其它装饰装修材料	http://ck.buildnet.cn//Comparison/ProductList?code1=3&code2=15
建筑专业	墙体装饰装修材料	GRC/EPS墙体装饰构件	http://ck.buildnet.cn//Comparison/ProductList?code1=3&code2=16
建筑专业	室内地面	无缝地面	http://ck.buildnet.cn//Comparison/ProductList?code1=4&code2=1
建筑专业	室内地面	陶瓷地砖	http://ck.buildnet.cn//Comparison/ProductList?code1=4&code2=2
建筑专业	室内地面	地板	http://ck.buildnet.cn//Comparison/ProductList?code1=4&code2=3
建筑专业	室内地面	地毯	http://ck.buildnet.cn//Comparison/ProductList?code1=4&code2=4
建筑专业	室内地面	特殊地面	http://ck.buildnet.cn//Comparison/ProductList?code1=4&code2=5
建筑专业	阳台	阳台构件	http://ck.buildnet.cn//Comparison/ProductList?code1=5&code2=1
建筑专业	阳台	围栏、护板、设施	http://ck.buildnet.cn//Comparison/ProductList?code1=5&code2=2
建筑专业	楼梯及栏杆扶手	楼梯结构	http://ck.buildnet.cn//Comparison/ProductList?code1=6&code2=1
建筑专业	楼梯及栏杆扶手	栏杆及扶手	http://ck.buildnet.cn//Comparison/ProductList?code1=6&code2=2
建筑专业	风道及竖井	混凝土风道	http://ck.buildnet.cn//Comparison/ProductList?code1=8&code2=1
建筑专业	风道及竖井	纤维石膏板风道	http://ck.buildnet.cn//Comparison/ProductList?code1=8&code2=1
建筑专业	风道及竖井	金属风道	http://ck.buildnet.cn//Comparison/ProductList?code1=8&code2=1
建筑专业	风道及竖井	玻璃钢风道井	http://ck.buildnet.cn//Comparison/ProductList?code1=8&code2=1
建筑专业	风道及竖井	金属竖井	http://ck.buildnet.cn//Comparison/ProductList?code1=8&code2=1
建筑专业	屋面	瓦屋面	http://ck.buildnet.cn//Comparison/ProductList?code1=7&code2=1
建筑专业	屋面	金属板屋面	http://ck.buildnet.cn//Comparison/ProductList?code1=7&code2=1
