阿旗220千伏输变电站建设工程建筑面积为38487平方米监管中心迁建项目52655651,总投资1720万元电力改迁工程,http://www.qianlima.com/zb/detail/20170317_52655651.html,三门峡,商业,设计阶段,公用事业设施,不装修,1720万,2017-05-18
41657579,总建筑面积约230310平方米住宅建设项目,http://www.qianlima.com/zb/detail/20160831_41657579.html,成都,商业,施工在建,住宅,不装修,50000万,2017-05-15
51296744,总建筑面积为300000平方米厂房新建项目,http://www.qianlima.com/zb/detail/20170221_51296744.html,吉安,商业,立项,住宅,办公楼,工业,不装修,35000万,2017-02-22
19409274,建筑面积21498平方米中学综合楼、体育馆等建设工程,http://www.qianlima.com/zb/detail/20141226_19409274.html,石家庄,商业,施工在建,教育及研究,简装修,未确定,2017-04-21
55492182,总建筑面积36000平方米翠屏区中医医院二期建设项目,http://www.qianlima.com/zb/detail/20170504_55492182.html,宜宾,商业,立项,医疗,其他,精装修,10000万,2017-05-11
55748676,S314晴隆花贡至普安公路改扩建工程,http://www.qianlima.com/zb/detail/20170509_55748676.html,黔西南布依族苗族自治州,政府,立项,基础建设,不装修,18000万,2017-05-10
29771402,总建筑面积169335平方米住宅楼建设项目,http://www.qianlima.com/zb/detail/20151118_29771402.html,昆明,商业,施工准备,住宅,简装修,未确定,2017-02-16
40782343,总建筑面积约为45888平方米车陂集体物业拆迁安置用地综合大楼建设工程,http://www.qianlima.com/zb/detail/20160815_40782343.html,广州,政府,施工在建,办公楼,商业及零售,未确定,12000万,2017-05-15
46717010,总建筑面积约为8239平方米住宅楼建设工程,http://www.qianlima.com/zb/detail/20161124_46717010.html,嘉兴,商业,施工在建,住宅,不装修,6000万,2017-01-11
56441290,总建筑面积为19000平方米重庆市江北区五里坪商业中心商业发展建设项目,http://www.qianlima.com/zb/detail/20170518_56441290.html,重庆,商业,立项,办公楼,商业及零售,简装修,7000万,2017-05-25
33926115,投资2866万元道路汽车城段项目,http://www.qianlima.com/zb/detail/20160317_33926115.html,玉林,商业,施工准备,基础建设,未确定,2866万,2017-04-17
39255286,总建筑面积为100000平方米住宅建设项目,http://www.qianlima.com/zb/detail/20160714_39255286.html,天津,商业,设计阶段,住宅,未确定,20000万,2017-05-25
52506707,总建筑面积为80000平方米安置房建设项目,http://www.qianlima.com/zb/detail/20170315_52506707.html,杭州,商业,立项,住宅,未确定,15000万,2017-03-16
49306858,总建筑面积约为103707平方米内科综合楼建设项目(三级 甲等),http://www.qianlima.com/zb/detail/20161230_49306858.html,武汉,政府,施工在建,医疗,交通,不装修,60000万,2017-05-15
51477696,总占地面积30433平方米满城区北平路滨河公园建设工程,http://www.qianlima.com/zb/detail/20170224_51477696.html,保定,政府,立项,休闲娱乐,不装修,3000万,2017-02-28
54868484,企业服务中心项目,http://www.qianlima.com/zb/detail/20170424_54868484.html,合肥,政府,设计阶段,社区,不装修,1100万,2017-05-19
52192333,总建筑面积为57222平方米住宅建设项目,http://www.qianlima.com/zb/detail/20170309_52192333.html,遵义,政府,立项,住宅,商业及零售,社区,不装修,20000万,2017-03-10
38976446,总建筑面积16000平方米小学建设项目,http://www.qianlima.com/zb/detail/20160708_38976446.html,大连,政府,施工在建,酒店与餐饮,教育及研究,交通,简装修,2000万,2017-03-03
25336218,总建筑面积为44898平方米中医院整体迁建工程,http://www.qianlima.com/zb/detail/20150729_25336218.html,重庆,商业,施工准备,医疗,未确定,8000万,2017-02-27
47056882,总建筑面积约220000平方米住宅建设工程,http://www.qianlima.com/zb/detail/20161129_47056882.html,重庆,政府,施工在建,住宅,商业及零售,交通,不装修,未确定,2017-01-10
53478712,总占地面积为24399平方米广丰区城北小学教育发展建设工程,http://www.qianlima.com/zb/detail/20170331_53478712.html,上饶,政府,设计阶段,办公楼,教育及研究,简装修,2700万,2017-05-19
50121522,总占地面积约66667平方米物流配送区建设工程,http://www.qianlima.com/zb/detail/20170117_50121522.html,百色,商业,立项,商业及零售,不装修,22000万,2017-02-08
55405751,总建筑面积为16000平方米办公楼建设项目,http://www.qianlima.com/zb/detail/20170503_55405751.html,杭州,商业,立项,办公楼,商业及零售,精装修,5000万,2017-05-04
46628620,全长122.8公里邯港高速公路沧州段建设项目,http://www.qianlima.com/zb/detail/20161123_46628620.html,沧州,政府,设计阶段,基础建设,不装修,150000万,2017-05-09
52110742,占地面积1100000平方米格力北侧山体森林公园建设项目,http://www.qianlima.com/zb/detail/20170308_52110742.html,重庆,商业,设计阶段,休闲娱乐,简装修,28000万,2017-04-27
51575024,总建筑面积为63000平方米疾病控制中心搬迁建设项目,http://www.qianlima.com/zb/detail/20170227_51575024.html,岳阳,政府,立项,办公楼,医疗,简装修,22000万,2017-02-27
52701056,总建筑面积101220平方米的教育园建设工程,http://www.qianlima.com/zb/detail/20170320_52701056.html,石家庄,政府,设计阶段,住宅,办公楼,社区,教育及研究,不装修,未确定,2017-03-20
28830358,投资40000万元花园小区工程,http://www.qianlima.com/zb/detail/20151029_28830358.html,河南,商业,施工在建,住宅,简装修,40000万,2017-05-19
49535764,总建筑面积约为10779平方米嘉定区农产品(食品药品)检验检测中心新建工程,http://www.qianlima.com/zb/detail/20170105_49535764.html,上海,政府,施工准备,办公楼,简装修,5000万,2017-05-04
51569122,总建筑面积为59078平方米中学建设项目,http://www.qianlima.com/zb/detail/20170227_51569122.html,黔西南布依族苗族自治州,政府,设计阶段,教育及研究,简装修,15000万,2017-02-27
49689879,总建筑面积为42140平方米客运枢纽中心站建设项目 （EPC）,http://www.qianlima.com/zb/detail/20170109_49689879.html,韶关,政府,施工准备,交通,简装修,25000万,2017-05-16
48887077,投资9351万元体育活动配套中心项目,http://www.qianlima.com/zb/detail/20161223_48887077.html,上海,商业,施工在建,休闲娱乐,精装修,9351万,2017-01-11
54014764,建筑面积8000平方米同安博爱医院改扩建项目,http://www.qianlima.com/zb/detail/20170411_54014764.html,厦门,商业,立项,医疗,精装修,1000万,2017-04-25
55667501,总建筑面积约为5509平方米祥盛苑住宅发展建设项目,http://www.qianlima.com/zb/detail/20170508_55667501.html,郑州,商业,立项,办公楼,简装修,3000万,2017-05-16
39018507,总建筑面积约为4046平方米梧州高级中学附属幼儿园建设项目,http://www.qianlima.com/zb/detail/20160708_39018507.html,梧州,政府,设计阶段,社区,简装修,1200万,2017-01-17
13223600,投资约2023万元湿地公园桥梁工程,http://www.qianlima.com/zb/detail/20140411_13223600.html,广东,政府,施工准备,休闲娱乐,不装修,2023万,2017-03-10
