55130376,占地面积为142000平方米综合整治工程,http://www.qianlima.com/zb/detail/20170427_55130376.html,天津,商业,施工在建,社区,休闲娱乐,简装修,未确定,2017-05-03
48605885,总建筑面积为12990平方米医技综合楼建设项目(三级 甲等 ),http://www.qianlima.com/zb/detail/20161220_48605885.html,西安,政府,施工在建,医疗,精装修,8300万,2017-05-03
37483155,总建筑面积为20778平方米公交场站及配套建设项目,http://www.qianlima.com/zb/detail/20160608_37483155.html,厦门,政府,施工准备,交通,简装修,未确定,2017-05-03
39160354,建筑面积为85000平方米安置小区工程,http://www.qianlima.com/zb/detail/20160712_39160354.html,信阳,商业,施工准备,住宅,未确定,9000万,2017-05-03
52647906,总建筑面积约为304212平方米安置房建设项目,http://www.qianlima.com/zb/detail/20170317_52647906.html,上海,商业,设计阶段,住宅,不装修,229900万,2017-05-03
37467203,总建筑面积为25200平方米小学建设工程,http://www.qianlima.com/zb/detail/20160608_37467203.html,东营,商业,施工准备,教育及研究,未确定,未确定,2017-05-02
39159826,建设面积约44354平方米九年一贯制学校项目,http://www.qianlima.com/zb/detail/20160712_39159826.html,蚌埠,政府,施工准备,教育及研究,简装修,10000万,2017-05-02
41320285,总建筑面积109683平方米安置房建设项目,http://www.qianlima.com/zb/detail/20160825_41320285.html,温州,商业,施工在建,住宅,简装修,49900万,2017-05-02
41870219,总建筑面积490000平方米新能源汽车产业园建设项目,http://www.qianlima.com/zb/detail/20160905_41870219.html,荆门,商业,施工在建,住宅,办公楼,工业,酒店与餐饮,简装修,250000万,2017-05-02
49826998,总建筑面积3377平方米艾滋病医院建设项目,http://www.qianlima.com/zb/detail/20170111_49826998.html,铜仁,政府,施工准备,医疗,简装修,3100万,2017-05-02
36966549,总建筑面积约为110000平方米岜邦屯整体搬迁项目,http://www.qianlima.com/zb/detail/20160530_36966549.html,崇左,商业,施工准备,住宅,简装修,未确定,2017-05-02
41792832,总建筑面积35000平方米航空邮件处理中心厂房建设项目,http://www.qianlima.com/zb/detail/20160902_41792832.html,哈尔滨,商业,施工在建,工业,不装修,7000万,2017-05-02
39969290,建筑面积为145000平方米办公楼建设项目,http://www.qianlima.com/zb/detail/20160728_39969290.html,泰安,商业,施工在建,办公楼,未确定,30300万,2017-05-02
50039027,总建筑面积10307平方米 海王星辰大厦新办公楼装修工程,http://www.qianlima.com/zb/detail/20170116_50039027.html,深圳,商业,施工准备,办公楼,精装修,5000万,2017-05-02
49151310,总建筑面积约31500平方米生产运行中心建设工程,http://www.qianlima.com/zb/detail/20161228_49151310.html,重庆,政府,设计阶段,办公楼,简装修,7900万,2017-05-02
38738038,总建设面积17000平方米法院审判法庭建设项目,http://www.qianlima.com/zb/detail/20160704_38738038.html,贵阳,政府,施工在建,司法,未确定,3500万,2017-05-02
52873381,总建筑面积30000平方米油车港镇麟湖小学新建工程,http://www.qianlima.com/zb/detail/20170322_52873381.html,嘉兴,政府,施工在建,酒店与餐饮,教育及研究,休闲娱乐,简装修,未确定,2017-05-02
53720170,总建筑面积58900平方米东亭中学新建校区项目,http://www.qianlima.com/zb/detail/20170406_53720170.html,无锡,政府,施工在建,住宅,酒店与餐饮,教育及研究,简装修,12000万,2017-05-02
55128851,总建筑面积为101772平方米住宅楼建设二期项目,http://www.qianlima.com/zb/detail/20170427_55128851.html,天津,商业,施工准备,住宅,商业及零售,社区,不装修,未确定,2017-05-02
40412904,建筑面积为630平方米变电站外电源隧道工程,http://www.qianlima.com/zb/detail/20160808_40412904.html,北京,商业,施工准备,公用事业设施,未确定,16500万,2017-05-02
55120162,建筑面积为11120平方米准化养殖场项目,http://www.qianlima.com/zb/detail/20170427_55120162.html,大同,商业,施工准备,办公楼,农业,不装修,800万,2017-05-02
55318245,总建筑面积约为15522平方米住宅楼建设工程,http://www.qianlima.com/zb/detail/20170502_55318245.html,信阳,商业,施工准备,住宅,不装修,1700万,2017-05-02
55120268,建筑面积为38754平方米专家公寓项目,http://www.qianlima.com/zb/detail/20170427_55120268.html,长治,商业,设计阶段,住宅,不装修,4000万,2017-05-02
39159826,建设面积约44354平方米九年一贯制学校项目,http://www.qianlima.com/zb/detail/20160712_39159826.html,蚌埠,政府,施工准备,教育及研究,简装修,10000万,2017-05-02
41320285,总建筑面积109683平方米安置房建设项目,http://www.qianlima.com/zb/detail/20160825_41320285.html,温州,商业,施工在建,住宅,简装修,49900万,2017-05-02
41870219,总建筑面积490000平方米新能源汽车产业园建设项目,http://www.qianlima.com/zb/detail/20160905_41870219.html,荆门,商业,施工在建,住宅,办公楼,工业,酒店与餐饮,简装修,250000万,2017-05-02
49826998,总建筑面积3377平方米艾滋病医院建设项目,http://www.qianlima.com/zb/detail/20170111_49826998.html,铜仁,政府,施工准备,医疗,简装修,3100万,2017-05-02
36966549,总建筑面积约为110000平方米岜邦屯整体搬迁项目,http://www.qianlima.com/zb/detail/20160530_36966549.html,崇左,商业,施工准备,住宅,简装修,未确定,2017-05-02
41792832,总建筑面积35000平方米航空邮件处理中心厂房建设项目,http://www.qianlima.com/zb/detail/20160902_41792832.html,哈尔滨,商业,施工在建,工业,不装修,7000万,2017-05-02
39969290,建筑面积为145000平方米办公楼建设项目,http://www.qianlima.com/zb/detail/20160728_39969290.html,泰安,商业,施工在建,办公楼,未确定,30300万,2017-05-02
50039027,总建筑面积10307平方米 海王星辰大厦新办公楼装修工程,http://www.qianlima.com/zb/detail/20170116_50039027.html,深圳,商业,施工准备,办公楼,精装修,5000万,2017-05-02
49151310,总建筑面积约31500平方米生产运行中心建设工程,http://www.qianlima.com/zb/detail/20161228_49151310.html,重庆,政府,设计阶段,办公楼,简装修,7900万,2017-05-02
38738038,总建设面积17000平方米法院审判法庭建设项目,http://www.qianlima.com/zb/detail/20160704_38738038.html,贵阳,政府,施工在建,司法,未确定,3500万,2017-05-02
52873381,总建筑面积30000平方米油车港镇麟湖小学新建工程,http://www.qianlima.com/zb/detail/20170322_52873381.html,嘉兴,政府,施工在建,酒店与餐饮,教育及研究,休闲娱乐,简装修,未确定,2017-05-02
53720170,总建筑面积58900平方米东亭中学新建校区项目,http://www.qianlima.com/zb/detail/20170406_53720170.html,无锡,政府,施工在建,住宅,酒店与餐饮,教育及研究,简装修,12000万,2017-05-02
55128851,总建筑面积为101772平方米住宅楼建设二期项目,http://www.qianlima.com/zb/detail/20170427_55128851.html,天津,商业,施工准备,住宅,商业及零售,社区,不装修,未确定,2017-05-02
40412904,建筑面积为630平方米变电站外电源隧道工程,http://www.qianlima.com/zb/detail/20160808_40412904.html,北京,商业,施工准备,公用事业设施,未确定,16500万,2017-05-02
55120162,建筑面积为11120平方米准化养殖场项目,http://www.qianlima.com/zb/detail/20170427_55120162.html,大同,商业,施工准备,办公楼,农业,不装修,800万,2017-05-02
55318245,总建筑面积约为15522平方米住宅楼建设工程,http://www.qianlima.com/zb/detail/20170502_55318245.html,信阳,商业,施工准备,住宅,不装修,1700万,2017-05-02
55120268,建筑面积为38754平方米专家公寓项目,http://www.qianlima.com/zb/detail/20170427_55120268.html,长治,商业,设计阶段,住宅,不装修,4000万,2017-05-02
37186608,总建筑面积为168343平方米棚户区建设项目,http://www.qianlima.com/zb/detail/20160602_37186608.html,秦皇岛,商业,施工准备,住宅,不装修,未确定,2017-05-02
42166953,总占地面积1390630平方米潮南区生活垃圾焚烧发电厂建设项目,http://www.qianlima.com/zb/detail/20160909_42166953.html,汕头,政府,施工在建,公用事业设施,不装修,61000万,2017-05-02
39220364,建筑面积为59600平方米定向安置经济适用房项目,http://www.qianlima.com/zb/detail/20160713_39220364.html,天津,商业,施工准备,住宅,未确定,11900万,2017-05-02
51694998,总建筑面积4554平方米吉水县体育中心体育场建设工程,http://www.qianlima.com/zb/detail/20170301_51694998.html,吉安,政府,施工在建,休闲娱乐,简装修,1800万,2017-05-02
41757433,总建筑面积156000平方米新能源汽车零部件厂房建设项目,http://www.qianlima.com/zb/detail/20160902_41757433.html,青岛,商业,施工准备,工业,不装修,67000万,2017-05-02
55113345,总占地面积约为50000平方米厂房建设项目,http://www.qianlima.com/zb/detail/20170427_55113345.html,鄂尔多斯,商业,施工在建,工业,不装修,7000万,2017-05-02
55112400,建筑面积约为90001平方米住宅楼建设项目,http://www.qianlima.com/zb/detail/20170427_55112400.html,阿拉尔,商业,施工在建,住宅,交通,未确定,10000万,2017-05-02
52822822,陆丰市陆城自来水厂建设工程,http://www.qianlima.com/zb/detail/20170321_52822822.html,汕尾,政府,施工准备,公用事业设施,不装修,21000万,2017-05-02
55108470,总建筑面积15613平方米专业技术用房项目,http://www.qianlima.com/zb/detail/20170427_55108470.html,淮安,政府,施工准备,司法,简装修,5000万,2017-05-02
39103241,燃气锅炉改造供热厂建设工程,http://www.qianlima.com/zb/detail/20160711_39103241.html,青岛,商业,施工准备,公用事业设施,未确定,1500万,2017-05-02
48510641,日处理能力2.5万吨污水处理厂建设项目,http://www.qianlima.com/zb/detail/20161219_48510641.html,玉林,政府,施工准备,公用事业设施,不装修,2000万,2017-05-02
55107952,建筑面积为406030平方米住宅楼建设工程,http://www.qianlima.com/zb/detail/20170427_55107952.html,苏州,商业,施工在建,住宅,商业及零售,酒店与餐饮,社区,交通,不装修,50000万,2017-05-02
